video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
JwboxqDylgg,"Canada Soccer's Women's National Team v USA International Friendly LIVE from Avaya Stadium, San Jose",Canada Soccer,2017-11-13,36311,277,28,13,CA,Sports
ThLVteoxnSE,"LFR11 - Game 19 - B Sweeper - Tor 4, Bos 1",SteveDangle,2017-11-12,28992,1409,9,188,CA,Sports
f-G8fK1LJVU,BREAKING: LiAngelo Ball Just Got THROWN INTO PRISON!! Will China MURDER LiAngelo Ball?,Ali's Highlights,2017-11-12,788935,15535,2557,2848,CA,Sports
WuzMMgFsJFE,McElhinney shines in Leafs' 4-1 win over the Bruins,NHL,2017-11-12,33167,304,11,71,CA,Sports
SElT590QmTY,Vikings vs. Redskins | NFL Week 10 Game Highlights,NFL,2017-11-12,439507,2557,133,1294,CA,Sports
QUUOLFAbJ6A,Ireland Fans In Copenhagen Outside Victoria's Secret - Denmark vs Ireland,Everything Football,2017-11-11,166818,465,42,60,CA,Sports
1KHCqtTC0EQ,"Toronto Raptors vs Boston Celtics: November 12, 2017",Motion Station,2017-11-12,102766,294,39,39,CA,Sports
F6HTw5DU670,Dude Perfect Face Off | Spikeball,Whistle Sports,2017-11-09,2682879,48408,2267,2341,CA,Sports
8tbQHHso0oY,Bellator 187: Conor McGregor storms the Bellator MMA Cage,BellatorMMA,2017-11-10,1107916,1807,269,1545,CA,Sports
o4qUbIZn538,Stephen Curry New Hair Debut! Nick Young Left Wide Open! 2017-18 Season,Chris Smoove,2017-11-12,650469,17003,185,1102,CA,Sports
o-y6Q0bANm4,Côte d'Ivoire vs Maroc 0 - 2,Ayoub Hamraoui,2017-11-11,265303,1475,110,273,CA,Sports
psDauoxUj9A,شاهد انبهار الاعلام المصري  بتأهل المغرب لكأس العالم  و يعتبر المغرب أقوى فريق عربي و افريقي,Info Press,2017-11-11,624328,7100,398,971,CA,Sports
YYOCmR5Lvbw,2017 Brazil Grand Prix: Race Highlights,FORMULA 1,2017-11-12,758492,11936,160,1472,CA,Sports
oP-6Z1RlaIc,"Triple H returns to join Team Raw at Survivor Series: Raw, Nov. 13, 2017",WWE,2017-11-14,2455165,47921,2236,8112,CA,Sports
DupviAaffdk,Stephen Colbert monologue 11/13/17 : Too Much Moore !,Federica Balsamo,2017-11-14,187026,786,121,218,CA,Sports
u-WXjOBFdgw,Stephen A. Smith sides with LeBron James in scuffle with Knicks | First Take | ESPN,ESPN,2017-11-14,545806,4193,448,1842,CA,Sports
2CZXls3Yclo,Cleveland Cavaliers vs New York Knicks Full Game Highlights / Week 5 / 2017 NBA Season,MLG Highlights,2017-11-14,2010343,9400,540,2483,CA,Sports
JwboxqDylgg,"Canada Soccer's Women's National Team v USA International Friendly LIVE from Avaya Stadium, San Jose",Canada Soccer,2017-11-13,41029,296,32,33,CA,Sports
8sdQ7dP9Drs,"Today's News: It's On - Get The Goods, November 14th, 2017",Whistler Blackcomb,2017-11-14,4851,31,0,0,CA,Sports
GZkgGhlscc0,GERMANY vs FRANCE 2-2 ● All Goals & Highlights HD ● 14 Nov 2017 - FRIENDLY,Football Highlights & Goals,2017-11-14,584612,2102,186,546,CA,Sports
TRZPLiLl9HY,Patriots vs. Broncos | NFL Week 10 Game Highlights,NFL,2017-11-13,1012191,7769,362,1528,CA,Sports
Iw8apHDAXhk,LeBron vs Kanter! Cavs Stun Knicks With Epic 23 Point Comeback! 2017-18 Season,Chris Smoove,2017-11-14,454790,14853,133,1383,CA,Sports
SC6Pweta170,"This is why UFC won't allow Conor McGregor to fight on Dec 30 at UFC 219,Bisping on Silva,Woodley",MMA WORLD,2017-11-14,309388,2908,201,2214,CA,Sports
-zro2JcQucc,Skip and Shannon talk Enes vs LeBron James after the Cavs beat the Knicks | UNDISPUTED,Skip and Shannon: UNDISPUTED,2017-11-14,241896,3049,142,1683,CA,Sports
7LgNSdeBIpE,LeBron James vs Frank Ntilikina and Enes Kanter - LeBron mocks Ntilikina!,NBAHighlights2,2017-11-14,617754,1923,168,1388,CA,Sports
Ehke7aPI9l0,"Kurt Angle & The Shield lead a Raw raid of SmackDown: SmackDown LIVE, Nov. 14, 2017",WWE,2017-11-15,3715529,86803,2264,11409,CA,Sports
NjWiiT74hB0,Stephen A. Smith calls for LiAngelo Ball and UCLA players to be suspended | First Take | ESPN,ESPN,2017-11-15,535562,5306,526,3960,CA,Sports
k_3rgt-h328,"McDavid, Oilers rout Golden Knights in 8-2 win",NHL,2017-11-15,67136,648,22,191,CA,Sports
Q6vkQG5KsDU,Toronto Raptors vs Houston Rockets - Full Game Highlights | Nov 14 | 2017-18 NBA Season,NBA Kit,2017-11-15,228385,674,56,195,CA,Sports
EnBfzD0HhtM,Argentina vs Nigeria 2-4 - All Goals & Extended Highlights - Friendly 14/11/2017 HD,GOLAZO TV,2017-11-14,2333278,11373,1206,3697,CA,Sports
tO5eH6oRMfw,Cleveland Cavaliers vs Charlotte Hornets Full Game Highlights / Week 5 / 2017 NBA Season,MLG Highlights,2017-11-16,551409,3243,169,807,CA,Sports
ZptISqiTxsQ,Gotta See It: Chaotic bench brawl erupts between Flames and Red Wings,SPORTSNET,2017-11-16,59846,517,9,327,CA,Sports
TWKzDGCLI9w,OG Anunoby 16 Points Full Highlights (11/14/2017),DownToBuck,2017-11-15,7494,136,0,44,CA,Sports
KPV4Pac3muA,WWE Smackdown 14 November Highlights HD - WWE Smackdown 14/11/2017 Highlights HD,Wrestling Reality II,2017-11-15,1502902,11298,920,1155,CA,Sports
xo6EcR8xvFM,ARGENTINA vs NIGERIA 2-4 ● All Goals & Highlights HD ● 14 Nov 2017 - FRIENDLY,Football Highlights & Goals,2017-11-14,1327882,4321,573,1487,CA,Sports
UwdLlnPaRAU,Tony Hawk Answers Skateboarding Questions From Twitter | Tech Support | WIRED,WIRED,2017-11-15,229515,9435,90,759,CA,Sports
YfIpOLtflWM,Raptors 45 Points 2nd QTR Franchise Record! James Harden 38 Pts! 2017-18 Season,Chris Smoove,2017-11-15,206367,7225,33,585,CA,Sports
u5E1Z3Upmt8,"Tyron Woodley to defend his belt against Nate Diaz on Dec 30 at UFC 219?,DC on Volkan,Conor McGregor",MMA WORLD,2017-11-15,347414,4448,250,3483,CA,Sports
ZptISqiTxsQ,Gotta See It: Chaotic bench brawl erupts between Flames and Red Wings,SPORTSNET,2017-11-16,392458,1467,54,743,CA,Sports
jKkOYEW7RvQ,Golden State Warriors vs Boston Celtics Full Game Highlights / Week 5 / 2017 NBA Season,MLG Highlights,2017-11-17,685641,8969,398,4995,CA,Sports
Ehke7aPI9l0,"Kurt Angle & The Shield lead a Raw raid of SmackDown: SmackDown LIVE, Nov. 14, 2017",WWE,2017-11-15,4373507,94443,2502,12173,CA,Sports
WBfOtfotvi8,"Toronto Raptors vs. New Orleans Pelicans - November 15, 2017",Motion Station,2017-11-16,10164,29,3,3,CA,Sports
k_3rgt-h328,"McDavid, Oilers rout Golden Knights in 8-2 win",NHL,2017-11-15,82447,728,30,216,CA,Sports
NjWiiT74hB0,Stephen A. Smith calls for LiAngelo Ball and UCLA players to be suspended | First Take | ESPN,ESPN,2017-11-15,677463,6070,626,4555,CA,Sports
2McDKO-E3Pg,"Skip and Shannon react to Joel Embiid's 46-point, 15-rebound night vs the Lakers | UNDISPUTED",Skip and Shannon: UNDISPUTED,2017-11-16,243083,2666,93,796,CA,Sports
LDzBX_zj9hg,CELEBRACIÓN CON LLANTOS DE LA SELECCIÓN PERÚ TRAS CLASIFICAR AL MUNDIAL LUEGO DE 36 AÑOS,Pasión90' Perú,2017-11-16,655537,4842,241,1366,CA,Sports
qBe3pYZ47ds,"Found Possible Human Bone, 2 Knives and Diamonds Underwater in River! (Scuba Diving)",DALLMYD,2017-11-17,95216,11265,108,1225,CA,Sports
7uLWqykxqjY,Golden Knights Goalie Injuries,Jens 95,2017-11-15,60282,768,12,168,CA,Sports
Rd8UD7WUIr8,Tibo InShape - Papy InShape (clip officiel),Tibo InShape,2017-11-16,670446,95714,3103,6802,CA,Sports
KPV4Pac3muA,WWE Smackdown 14 November Highlights HD - WWE Smackdown 14/11/2017 Highlights HD,Wrestling Reality II,2017-11-15,1762418,12532,1087,1234,CA,Sports
xo6EcR8xvFM,ARGENTINA vs NIGERIA 2-4 ● All Goals & Highlights HD ● 14 Nov 2017 - FRIENDLY,Football Highlights & Goals,2017-11-14,1494393,4701,643,1559,CA,Sports
ZptISqiTxsQ,Gotta See It: Chaotic bench brawl erupts between Flames and Red Wings,SPORTSNET,2017-11-16,517275,1912,85,910,CA,Sports
jKkOYEW7RvQ,Golden State Warriors vs Boston Celtics Full Game Highlights / Week 5 / 2017 NBA Season,MLG Highlights,2017-11-17,3158597,19584,995,7573,CA,Sports
Ae7rZuR9oBw,Equipe d'Algérie : Rabah Madjer - Maamar Djebbour c'est  le clash,ALGERIE Football,2017-11-14,90474,101,22,85,CA,Sports
