video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
nNtrjfX2aGw,KOCHEN mit TANZVERBOT |  - 001#,TANZVERBOT,2017-11-13,121928,16467,650,3492,DE,Howto & Style
XVpDYrjZnuI,Der erste Besuch beim Frauenarzt | o.b.® Let’s do — mit BarbaraSofie,o.b. Deutschland,2017-11-13,38954,2644,19,428,DE,Howto & Style
U3xLOo-CNwo,12 Weird Ways To Sneak Food Into Class / Back To School Pranks,Troom Troom,2017-11-12,3153224,28451,2285,3312,DE,Howto & Style
1SiKopOt-QM,26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,5-Minute Crafts,2017-11-13,803400,15545,1130,955,DE,Howto & Style
YGA-zEWGAQ0,Lege eine Zitrone mit Salz auf einen Teller und schau was passiert!,Gesundheitsblatt,2017-11-13,15737,730,114,56,DE,Howto & Style
6-m1wRPvzlk,10 Zutaten Challenge: Herbst I Mit Hannah von Klein aber Lecker I MAGGI Kochstudio,MAGGI Kochstudio,2017-11-13,5464,264,4,5,DE,Howto & Style
5530I_pYjbo,How I Trained My Cats,JunsKitchen,2017-11-14,977285,87617,391,5575,DE,Howto & Style
1SiKopOt-QM,26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,5-Minute Crafts,2017-11-13,4752153,48776,4615,2502,DE,Howto & Style
JRSC6h2wgt4,ACRYLGEL | P****Gel von Magnetic | Naturnagelverstärkung,LyniNails,2017-11-14,4903,460,9,77,DE,Howto & Style
nNtrjfX2aGw,KOCHEN mit TANZVERBOT |  - 001#,TANZVERBOT,2017-11-13,192479,22035,1189,4502,DE,Howto & Style
QOZdPxGgcv4,Kindersicherung für den Messerblock | Einfach genial | MDR,Einfach genial,2017-11-14,2222,62,2,10,DE,Howto & Style
5530I_pYjbo,How I Trained My Cats,JunsKitchen,2017-11-14,1961066,142740,773,8471,DE,Howto & Style
7dlsBmPbpis,Knusprige Waffelröllchen / Zimtrollen / crunchy Cinnamon Rolls,Sallys Welt,2017-11-15,66712,2875,75,178,DE,Howto & Style
JepXeXmEh5o,ADVENTSKRANZ - WINTERWALD MIT SPECIAL EFFECT + GEWINNSPIEL,Flowers By Schouten,2017-11-15,11080,863,21,174,DE,Howto & Style
1SiKopOt-QM,26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,5-Minute Crafts,2017-11-13,5168203,51975,5286,2538,DE,Howto & Style
hpapqEeb36k,Pumpkin Pie - You Suck at Cooking (episode 68),You Suck At Cooking,2017-11-15,387902,24443,414,1346,DE,Howto & Style
nNtrjfX2aGw,KOCHEN mit TANZVERBOT |  - 001#,TANZVERBOT,2017-11-13,212887,23219,1357,4660,DE,Howto & Style
