video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
TuMB5uluUnQ,Chasse en Battue Cervidés Sangliers Saison 2017/2018 Blaser R8,Chasse88,2017-11-14,4206,104,9,23,FR,Pets & Animals
kepIALKQZVo,PARK : LE CHATON VA ALLER CHEZ LE VÉTÉRINAIRE 🐱!,MrRatSuper Life,2017-11-15,12175,1022,9,170,FR,Pets & Animals
eWEbmu0va6M,Dog Reunites With Family After Nearly Three Years,Jukin Media,2017-11-15,4006,0,0,0,FR,Pets & Animals
9PhM-zCmTFs,DIY - Simon's Cat  | NEW BLACK & WHITE!,Simon's Cat,2017-11-16,178977,14355,87,429,FR,Pets & Animals
Qp-dS87wE_w,Une Saison Aux Abeilles En Direct Du Salon D'apiculture,gOAdee Apiculteur Pro,2017-11-17,2517,518,9,94,FR,Pets & Animals
QedMu8GwqEA,La biche et le faon de Saint Germain le Châtelet il y a quelques mois - Petition change.org,JJ Darriet,2017-11-17,11295,182,6,27,FR,Pets & Animals
zEdSaDeQAM0,Chasse aux sangliers-Un tir à +130 mètres !,Chasse Mania,2017-11-20,1739,26,3,6,FR,Pets & Animals
EKU2SpBmdPw,10 ANIMAUX AVEC DE VRAIS SUPER POUVOIRS 2  | Dr Bot,Dr Bot,2017-11-21,80763,1692,333,106,FR,Pets & Animals
EKU2SpBmdPw,10 ANIMAUX AVEC DE VRAIS SUPER POUVOIRS 2  | Dr Bot,Dr Bot,2017-11-21,236299,3005,936,229,FR,Pets & Animals
NnOC9BZA4mA,MIMI VLOG #1,MutVlog ♥,2017-11-22,1615,225,0,35,FR,Pets & Animals
EKU2SpBmdPw,10 ANIMAUX AVEC DE VRAIS SUPER POUVOIRS 2  | Dr Bot,Dr Bot,2017-11-21,268768,3363,1083,243,FR,Pets & Animals
nkXGohB02V0,Fast Food (A Thanksgiving Special) - Simon's Cat | BLACK & WHITE,Simon's Cat,2017-11-23,350853,20977,339,1064,FR,Pets & Animals
xqCLVThQuxo,les meilleurs tirs de battues aux sangliers,Cs Sfaxien,2017-11-23,2764,7,3,1,FR,Pets & Animals
qXn8NXDox1A,Loup d'Abyssinie VS rat-taupe géant - ZAPPING SAUVAGE,Zapping Sauvage,2017-11-22,24540,883,10,71,FR,Pets & Animals
zTOqI-5AK14,Children tried to save these puppies... they didn't realize their homeless mom was looking for food.,Hope For Paws - Official Rescue Channel,2017-11-23,417910,23382,117,1491,FR,Pets & Animals
unk6n3_QdlM,STUNG by a WARRIOR WASP!,Brave Wilderness,2017-11-24,2693637,129051,1486,34224,FR,Pets & Animals
lh45Wgy3nmA,Saut en liberté 26/11/17,Granger Mélodie,2017-11-26,2417,111,0,4,FR,Pets & Animals
ulVAAxQc3BU,La joie des Français après leur victoire face à la Belgique en finale de Coupe Davis,France 3 Grand Est,2017-11-26,4063,14,0,0,FR,Pets & Animals
APWbml1aosM,Une pieuvre super-intelligente vole un crabe à un pêcheur - ZAPPING SAUVAGE,Zapping Sauvage,2017-11-25,34416,770,17,66,FR,Pets & Animals
9vcynqooZ5I,LE CHATON & SA LITIÈRE AUTO NETTOYANTE : BILAN 🚽🐈!,MrRatSuper Life,2017-11-27,10290,615,9,114,FR,Pets & Animals
jo_eEg14vAc,"[VlogParis #2]: Cavalgrena me gronde ! , Câlin Gratuit !",Minis Poneys,2017-11-29,5162,556,2,51,FR,Pets & Animals
BkIuZVGTkM0,Kitten Crazy Time - Simon's Cat | BLACK & WHITE,Simon's Cat,2017-11-30,130290,12647,42,455,FR,Pets & Animals
P3AqOjvgBWw,"Libérés de clapiers à lapins, 21 chiens sauvés",Fondation 30 Millions d'Amis,2017-11-30,13768,873,6,90,FR,Pets & Animals
sSqSmqmhtT8,1 MINUTE INSIDE ~ Salon du cheval 2017 :  Meetup des Youtubeuses !,Georgette Mag,2017-11-30,3532,330,4,35,FR,Pets & Animals
RfCoAU37vN8,2 décembre - Pépita passe-partout,Ânes Victoires,2017-12-02,1670,260,3,15,FR,Pets & Animals
_D7D1mZyFxA,HAUL SALONS 2017 - J'ai craqué à Equita'Lyon & au salon du Cheval de Paris,Dance With Him - Chaîne Equestre,2017-12-02,9460,1443,4,189,FR,Pets & Animals
