video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
PoNWU2cox9w,Inside Keanu Reeves' Custom Motorcycle Shop | WIRED,WIRED,2017-11-08,704363,16352,224,841,GB,Autos & Vehicles
nR3OdeqiEF8,Evolution of the Ford Mustang | Donut Media,Donut Media,2017-11-06,109148,3222,62,539,GB,Autos & Vehicles
VsRot0p7ObY,The Washing Machine that would not Die,colinfurze,2017-11-02,1530286,53959,1434,2953,GB,Autos & Vehicles
PoNWU2cox9w,Inside Keanu Reeves' Custom Motorcycle Shop | WIRED,WIRED,2017-11-08,803844,17450,257,865,GB,Autos & Vehicles
nR3OdeqiEF8,Evolution of the Ford Mustang | Donut Media,Donut Media,2017-11-06,111759,3249,62,539,GB,Autos & Vehicles
VsRot0p7ObY,The Washing Machine that would not Die,colinfurze,2017-11-02,1546831,54261,1450,2973,GB,Autos & Vehicles
PoNWU2cox9w,Inside Keanu Reeves' Custom Motorcycle Shop | WIRED,WIRED,2017-11-08,838340,17857,263,887,GB,Autos & Vehicles
nR3OdeqiEF8,Evolution of the Ford Mustang | Donut Media,Donut Media,2017-11-06,113286,3266,62,539,GB,Autos & Vehicles
NKin_i1pcFA,"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History",Doug DeMuro,2017-11-27,705169,21050,532,5784,GB,Autos & Vehicles
NKin_i1pcFA,"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History",Doug DeMuro,2017-11-27,1149806,26711,838,7167,GB,Autos & Vehicles
_KEN-cxmGw8,What Jeremy Clarkson thinks about Tesla,Mashable Daily,2017-11-28,300407,2917,366,957,GB,Autos & Vehicles
NKin_i1pcFA,"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History",Doug DeMuro,2017-11-27,1273984,28215,939,7449,GB,Autos & Vehicles
_KEN-cxmGw8,What Jeremy Clarkson thinks about Tesla,Mashable Daily,2017-11-28,440154,4320,535,1292,GB,Autos & Vehicles
NKin_i1pcFA,"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History",Doug DeMuro,2017-11-27,1350802,29062,977,7642,GB,Autos & Vehicles
_KEN-cxmGw8,What Jeremy Clarkson thinks about Tesla,Mashable Daily,2017-11-28,620441,5816,744,1895,GB,Autos & Vehicles
NKin_i1pcFA,"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History",Doug DeMuro,2017-11-27,1394818,29208,985,7764,GB,Autos & Vehicles
_KEN-cxmGw8,What Jeremy Clarkson thinks about Tesla,Mashable Daily,2017-11-28,830001,7740,1000,2216,GB,Autos & Vehicles
NKin_i1pcFA,"The Spyker C8 Is the Quirkiest $250,000 Exotic Car in History",Doug DeMuro,2017-11-27,1430659,29549,1017,7822,GB,Autos & Vehicles
