video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
7gShaSuK_PY,ஜெயலலிதாவின் உயில் சிக்கியது  அப்பல்லோ சி.டி.யை தேடிய  அதிகாரிகள் - சோதனையின் பின்னணி,Next Gen,2017-11-13,89531,238,59,18,IN,People & Blogs
Mqfh8_Uk1eM,Sudigaali Sudheer Performance | Extra Jabardasth | 10th November 2017 | ETV Telugu,ETV Jabardasth,2017-11-10,1956925,9504,938,956,IN,People & Blogs
MXH7yFFl3fE,"8 राशियों की लगेंगी लॉटरी,16 नवम्बर के बाद खुब बरसेगा पैसा व प्यार,सूर्य राशि महापरिवर्तन",AstroMitram,2017-11-12,97522,838,189,49,IN,People & Blogs
TuOBfQRXwhQ,"13 नवम्बर से इन 9 राशि वालों का खुलेगा किस्मत का ताला, कहीं आप की राशि तो नहीं इन में से एक जानिए",Brijnaari Sumi,2017-11-12,109594,790,189,145,IN,People & Blogs
XjF2n3NaoSk,Konchem Touch Lo Unte Chepta Season 3 - Rajasekhar and his Family Promo - Pradeep Machiraju,Pradeep Machiraju,2017-11-10,1025941,6019,234,280,IN,People & Blogs
SVc0gV3pWC0,Haq Se Qarib Qarib Singlle - featuring Irrfan Khan.,Zakir Khan,2017-11-09,1353040,53866,1111,2232,IN,People & Blogs
sOwXjFMy17Y,నవంబర్ 13   (చివరి కార్తిక సోమవారం) ఇది ఒక్కటి తింటే  దీపం దానం చేసినంత పుణ్యం మరియు అదృష్టం,local telugu,2017-11-13,55523,220,41,5,IN,People & Blogs
XU6iH5LHwDw,హిజ్రాల నుంచి ఈ వస్తువు తీసుకుంటే మీ జీవితం మారిపోతుంది | Change Your Life | Mana Telugu,Mana Telugu,2017-11-12,65054,349,28,0,IN,People & Blogs
1wqsTGkFHoE,"इन 7 राशियों की चमकेगी किस्मत,गुरु का होगा उदय, 10 november 2017",Anokhe totke,2017-11-09,367797,2254,605,0,IN,People & Blogs
puBq9Z5TpEw,Tamil Cinema Real Sisters | Tamil Cinema News | Kollywood News,SOUTH FDFS,2017-11-12,36092,106,58,3,IN,People & Blogs
zWAjEtFkMgY,Weekly Rasi Phalalu 2017 November 12th - November 18th  2017,muluguastro,2017-11-11,37384,164,32,6,IN,People & Blogs
fRY7UWGFvdc,ഇടുക്കി ആശുപത്രിയിൽ രോഗികളെ ക്യൂവിൽ നിർത്തിയ ജീവനക്കാരിയുടെ ഇപ്പോഴത്തെ അവസ്ഥ കണ്ടോ ഞെട്ടി പോകും,Malayalam News Time,2017-11-12,197122,0,0,130,IN,People & Blogs
m5HsZ4lYtv4,കർണാടകയിലെ ക്യാൻസർ ചികിത്സയെ കുറിച്ചുള്ള പുതിയ വീഡിയോ | Cancer Treatment Center | malayalam News,Stars and News,2017-11-11,121361,1364,75,78,IN,People & Blogs
Yx6FaFVw9NY,Daily Promise and Prayer by Bro. P. Satish Kumar from Calvary Temple - 13.11.2017,Calvary Temple Hyderabad,2017-11-12,15107,1090,6,133,IN,People & Blogs
