video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
z0RPAaITyyg,Her Story　実況プレイ,わいわい,2018-02-08,37037,552,18,40,JP,Gaming
rskvlVMoYZE,【テイルズ オブ ザ レイズ ミラージュ プリズン】2018年2月参戦キャラクター告知PV,876TV,2018-02-09,6964,0,0,0,JP,Gaming
2d0E2WcixgI,【PV】B-PROJECT SPECIAL LIVE,LOVE&ART,2018-02-08,70091,4095,53,228,JP,Gaming
Z6bc9_0AHQg,【ポケモンGO】福井は更に大雪！本日EXレイド無理！【現在の現状】,38yotti エンジョイまきやん,2018-02-08,10519,73,28,19,JP,Gaming
x2huO11LEY4,MHW HR104 ライトボウガン TAメイン,しゃーちゃん,2018-02-08,7651,31,168,9,JP,Gaming
qAVeOtQx-4c,パス配布は不具合だった!EXレイド当選法則が修正された模様【ポケモンGO】,やまだちゃんねる,2018-02-08,47622,633,63,196,JP,Gaming
NqMZQEhkPn4,【セブンナイツ（Seven Knights）】 セブンナイツ・覚醒スパイク,Netmarble Japan Inc.,2018-02-08,3772,59,5,0,JP,Gaming
SqCb6MdbMMQ,人工知能を論破してみた,ブラックナイト山田,2018-02-08,72596,1411,81,588,JP,Gaming
z0RPAaITyyg,Her Story　実況プレイ,わいわい,2018-02-08,37037,552,18,40,JP,Gaming
rskvlVMoYZE,【テイルズ オブ ザ レイズ ミラージュ プリズン】2018年2月参戦キャラクター告知PV,876TV,2018-02-09,6964,0,0,0,JP,Gaming
K4nn6HcNmjw,【ポケモンGO】レックウザを高確率で捕獲する方法！,shunpkgoのポケモンGO攻略チャンネル,2018-02-10,3165,33,3,10,JP,Gaming
kp7qer4jm40,速報  レックウザ  ゲットチャレンジ,りょーじ's PokemonGO movies,2018-02-09,7771,70,23,23,JP,Gaming
ThqM787fU2g,風邪が治りかけの時にプレイすると喉がぶっ壊れるゲーム,ポッキー / PockySweets,2018-02-09,229903,7577,147,1559,JP,Gaming
mNYkYuqXXpI,2018 평창동계올림픽 개막식 하이라이트 (5)-1,I I,2018-02-09,299130,1313,267,1046,JP,Gaming
VXnrxY-l804,「実況パワフルプロ野球2018」オープニングムービー,KONAMI公式,2018-02-09,350732,4361,160,1414,JP,Gaming
