video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
hH7wVE8OlQ0,JSA 귀순 북한군 총격 부상,Edward,2017-11-13,76533,211,28,113,KR,News & Politics
0_8py-t5R80,"이명박 출국 현장, 놓치면 안되는 장면",미디어몽구,2017-11-12,222850,2093,173,1219,KR,News & Politics
bk55RbxiQdI,김장겸은 물러갔다 MBC 노조 환호와 눈물,NocutV,2017-11-13,84466,1094,109,450,KR,News & Politics
AmP0ryzDmbY,김정숙 여사는 왜 갑자기 문재인 대통령 주머니에 손을 넣었나? 인도네시아 대통령도 깜놀,하우스,2017-11-12,188707,545,311,357,KR,News & Politics
Ssx4JpUsW_U,"[ 전체 ] 김어준의 뉴스공장 1113(월) 박범계, 최강욱, 김준형, 정청래, 임상훈",시대정신,2017-11-13,88115,765,63,104,KR,News & Politics
WSasKXK0nhI,(심층해설) 이명박이 문재인 잡아라! 윤창중 TV 칼럼(2017.11.13),윤창중칼럼세상 TV,2017-11-13,56248,0,0,526,KR,News & Politics
K45GLGZXY4k,"'박정희에게 길을 묻다' 세미나에 다녀와서 (정규재 칼럼, 11월 13일)",정규재TV,2017-11-13,58676,2183,390,854,KR,News & Politics
g0SNaoqC7Cg,"김어준의 뉴스공장 [17.11.13] 박범계, 최강욱, 준형, 정청래, 임상훈",Moonsrever,2017-11-13,102348,998,106,115,KR,News & Politics
P9KQOvLRVNQ,"박지원의 이명박 기자회견 극딜!! 안초딩, 바른정당 자꾸 기웃거리면 나 민주당 간다 꿀렁꿀렁 하지마!",뉴스 당장,2017-11-13,59759,371,45,125,KR,News & Politics
Shxu7Iyl9ds,조갑제TV/집무실에 김정일 사진을 걸어 두었던  김관진 장관,조갑제TV,2017-11-12,42606,1999,47,293,KR,News & Politics
jRItDl-NstA,시진핑 지 숙소로 문대통령 불러 또 사드 훈계? 중국에 장사하려 민족자존심 파는가? [세밀한안보] (2017.11.13) 1부,o 황장수의 뉴스브리핑,2017-11-13,44248,1889,30,298,KR,News & Politics
m3AxIeQ3StA,IMF총재 관심 독점한 문재인..아베총리 여사님께 친한척 현장,김초운,2017-11-11,217077,2909,320,534,KR,News & Politics
