video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
KO-QO5QQAyM,Mexico vs Polonia 1-0 RESUMEN GOLES [Goals-Highlights] Amistoso Friendly-Match 13/11/2017,Central de notícias e esportes CNE,2017-11-13,39857,233,45,324,MX,Sports
y_6rR8yKONo,Porque Carlos Vela no Quería ir a la Selección y se perdió el Mundial del 2014 Boser Salseo,Boser Salseo Futbolero,2017-11-12,227651,5532,213,662,MX,Sports
S9qll04y4iw,¿MESSI ya amarró el 6º Balón de Oro? | GRIEZMANN SUEÑA con MBAPPÉ y NEY | ¿Qué harán con BALE?,Cracks,2017-11-13,1047926,53154,871,2803,MX,Sports
zexzfD25jWU,Así fueron los penales en el Partido por la Paz | Estrellas América,Imagen Deportes,2017-11-12,582042,1953,214,287,MX,Sports
_GaoLGcZ8Wg,POR FIN!! DOS FICHAJES BOMBA PARA EL CRUZ AZUL RUMBO AL CLAUSURA 2018 LIGA MX,Lord Fer LEE,2017-11-12,49349,41,55,11,MX,Sports
62uv76jjUG8,Steelers vs. Colts | NFL Week 10 Game Highlights,NFL,2017-11-12,361416,3102,110,799,MX,Sports
jXndHBU_tq8,España vs Costa Rica 5-0 RESUMEN GOLES [Goals-Highlights] Amistoso Friendly-Match 11/11/2017,Fútbol Latino,2017-11-11,1269033,7265,515,5310,MX,Sports
G2LKPsoc24k,Abdomen plano y piernas bonitas | GymVirtual,gymvirtual,2017-11-13,23352,2529,20,125,MX,Sports
ehaaxAyRf18,A 213 Días Del Mundial Te Preocupa Que El Tri No Tenga Un 11 Titular Definido? La Ultima Palabra,Joserra el Rey IX,2017-11-13,1856,9,2,1,MX,Sports
7v8sd_Bar-w,TOP 7: Los fichajes de MEXICANOS más COSTOSOS,Cracks MX,2017-11-13,50782,3852,97,180,MX,Sports
Mwsy6T99j04,"Chucky Lozano Puede Ser Estrella Mundial, José Ramón Critica que se Elogie Mucho Doblete a Bélgica",Estadio Videos Play,2017-11-13,33278,109,18,74,MX,Sports
BUdI6ot2j-8,Mexico vs Polonia  1-0 Resumen Goles Amistoso 2017 HD,Futbol En Vivo,2017-11-13,218587,727,188,323,MX,Sports
6mux5Q9AGfE,El KUN se DESMAYÓ | ¡TRES de ERIKSEN y al MUNDIAL! | ALEMANIA le EMPATA a FRANCIA al 93,Cracks,2017-11-15,668353,39436,438,1999,MX,Sports
cnOrjcG_Sxo,Programa completo del 14 de noviembre de 2017 | Enamorándonos,Enamorándonos,2017-11-15,353534,3458,337,954,MX,Sports
1GYQSPvoYww,CHICHARITO buscó VOLVER a CHIVAS | JONA quiere jugar en el AME | DESTROZAN a MARCHESÍN en ARGENTINA,Cracks MX,2017-11-15,110067,6136,79,369,MX,Sports
Ehke7aPI9l0,"Kurt Angle & The Shield lead a Raw raid of SmackDown: SmackDown LIVE, Nov. 14, 2017",WWE,2017-11-15,612569,29530,641,5104,MX,Sports
"#NAME?",Buffon llora la eliminacion de Italia del Mundial de Rusia 2018,Hora Deportiva,2017-11-13,478507,1508,133,523,MX,Sports
EnBfzD0HhtM,Argentina vs Nigeria 2-4 - All Goals & Extended Highlights - Friendly 14/11/2017 HD,GOLAZO TV,2017-11-14,1693612,9195,910,3002,MX,Sports
KO-QO5QQAyM,Mexico vs Polonia 1-0 RESUMEN GOLES [Goals-Highlights] Amistoso Friendly-Match 13/11/2017,Central de notícias e esportes CNE,2017-11-13,277375,641,108,624,MX,Sports
xo6EcR8xvFM,ARGENTINA vs NIGERIA 2-4 ● All Goals & Highlights HD ● 14 Nov 2017 - FRIENDLY,Football Highlights & Goals,2017-11-14,685001,2758,330,1092,MX,Sports
Xc0V4S17T4I,Argentina vs Nigeria 2-4 Todos los Goles y Resumen (Amistoso) 14-11-2017 HD,ALXrecords2,2017-11-14,109620,325,48,688,MX,Sports
RS6dEL5VIr0,"JOAO ROJAS Es Figura En Argentina, Regresará A CRUZ AZUL?",ElChismosogro,2017-11-14,9555,217,5,54,MX,Sports
AWqYXzvT4OM,Transmisión en vivo del LXXIII Congreso y Campeonato Nacional Charro #Hidalgo2017,"Federación Mexicana de Charrería, A.C.",2017-11-14,3874,17,0,0,MX,Sports
Qu0YhyzBB6A,ARGENTINA 2 vs NIGERIA 4. Resumen y goles (full highlights) 14/11/2017,García Cedeño,2017-11-14,422947,1160,186,1261,MX,Sports
v9nEWtEdkmc,Argentina vs Nigeria 2-4 - All Goals & Highlights - Friendly (14/11/2017),Goals & Highlights,2017-11-14,414653,2303,191,938,MX,Sports
iBU3wxHzEHA,¡La 'dueña' del estadio Azteca! Las 5 increíbles atajadas de Blanca Félix ante el América,Univision Deportes,2017-11-14,193227,1743,92,213,MX,Sports
vFI-kU_Hb38,Argentina vs Nigeria 2-4 RESUMEN GOLES [Goals-Highlights] Amistoso Friendly-Match 14/11/2017,Fútbol Latino,2017-11-14,119937,530,344,800,MX,Sports
9yPJRctSJB4,Italy vs Sweden 0-0 (0-1) Highlights & All goals  European Qualifiers HD ITA 13/11/17,FootballEmpireTM,2017-11-13,185581,200,157,88,MX,Sports
l1dQZ-dDZRk,Argentina 2 Nigeria 4. Resumen y Goles,Lo Mejor del Futbol,2017-11-14,14461,105,18,134,MX,Sports
UCoMgd1vDe4,SE SACO EL QUE? 🍆😐,JacoboWong,2017-11-14,22762,1667,31,214,MX,Sports
