video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
aLSG3178eD4,Tell Hollywood to stand with immigrants,Define American,2017-11-28,1456,0,0,0,US,Nonprofits & Activism
aLSG3178eD4,Tell Hollywood to stand with immigrants,Define American,2017-11-28,1873,0,0,0,US,Nonprofits & Activism
aLSG3178eD4,Tell Hollywood to stand with immigrants,Define American,2017-11-28,2005,0,0,0,US,Nonprofits & Activism
aLSG3178eD4,Tell Hollywood to stand with immigrants,Define American,2017-11-28,2093,0,0,0,US,Nonprofits & Activism
0jmDHoPUGKI,NSC | Face to Face with the Prescription Opioid Crisis,National Safety Council,2017-12-05,1967,19,0,3,US,Nonprofits & Activism
0jmDHoPUGKI,NSC | Face to Face with the Prescription Opioid Crisis,National Safety Council,2017-12-05,2373,19,0,3,US,Nonprofits & Activism
0jmDHoPUGKI,NSC | Face to Face with the Prescription Opioid Crisis,National Safety Council,2017-12-05,2492,19,1,3,US,Nonprofits & Activism
6kLYXbNZWRs,Meet Teen Vogue's 2017 21 Under 21 | Teen Vogue,Teen Vogue,2017-12-15,7052,686,13,29,US,Nonprofits & Activism
6kLYXbNZWRs,Meet Teen Vogue's 2017 21 Under 21 | Teen Vogue,Teen Vogue,2017-12-15,11579,986,15,36,US,Nonprofits & Activism
6kLYXbNZWRs,Meet Teen Vogue's 2017 21 Under 21 | Teen Vogue,Teen Vogue,2017-12-15,13964,1131,15,42,US,Nonprofits & Activism
6kLYXbNZWRs,Meet Teen Vogue's 2017 21 Under 21 | Teen Vogue,Teen Vogue,2017-12-15,15525,1203,15,45,US,Nonprofits & Activism
6kLYXbNZWRs,Meet Teen Vogue's 2017 21 Under 21 | Teen Vogue,Teen Vogue,2017-12-15,16948,1248,17,46,US,Nonprofits & Activism
xYShiXMGULE,Living under a bridge doesn't stop this homeless woman from staying positive.,Invisible People,2017-12-17,33685,1450,51,638,US,Nonprofits & Activism
xYShiXMGULE,Living under a bridge doesn't stop this homeless woman from staying positive.,Invisible People,2017-12-17,41183,1621,60,662,US,Nonprofits & Activism
Pc1Obe1BWhc,Nina Dobrev wants to Save Sharks (30s),Oceana,2018-01-03,4178,16,1,3,US,Nonprofits & Activism
Pc1Obe1BWhc,Nina Dobrev wants to Save Sharks (30s),Oceana,2018-01-03,7406,26,1,3,US,Nonprofits & Activism
Pc1Obe1BWhc,Nina Dobrev wants to Save Sharks (30s),Oceana,2018-01-03,8025,29,1,3,US,Nonprofits & Activism
Pc1Obe1BWhc,Nina Dobrev wants to Save Sharks (30s),Oceana,2018-01-03,8318,30,1,3,US,Nonprofits & Activism
