video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
TUmyygCMMGA,Why the rise of the robots won’t mean the end of work,Vox,2017-11-13,256426,12654,1363,2368,US,News & Politics
GgVmn66oK_A,Which Countries Are About To Collapse?,NowThis World,2017-11-12,544770,7848,1171,3981,US,News & Politics
iIxy3JN3-jc,LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,Cleveland Cavaliers on cleveland.com,2017-11-13,27943,156,36,83,US,News & Politics
goP4Z5wyOlM,Iraq-Iran earthquake: Deadly tremor hits border region - BBC News,BBC News,2017-11-12,34785,308,26,413,US,News & Politics
c-3JxzN2u34,Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,CBS Sunday Morning,2017-11-12,6473,205,6,15,US,News & Politics
9XSULcLI6Hg,Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17,JimBrowski 96HourNews,2017-11-12,9132,21,8,64,US,News & Politics
oTObwUiXdYY,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,2017-11-13,5304,52,13,68,US,News & Politics
PABlVzeldaM,U.S. Navy Three Carrier Formation in Western Pacific Ocean,U.S. Navy,2017-11-12,105058,493,54,347,US,News & Politics
L_5_slz4ke4,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,2017-11-12,7524,67,19,56,US,News & Politics
PkRBTF6nt4E,Tesla's biggest problem is one nobody saw coming,Business Insider,2017-11-10,125970,935,507,262,US,News & Politics
CO9dIyNM_9Q,Pitcher Roy Halladay Dies After Crashing ICON A5 Plane He Promoted in October (File),Storyful News,2017-11-07,244532,633,174,765,US,News & Politics
Mfiim71QdYQ,Obama arrives for jury duty at Daley Center,Chicago Sun-Times,2017-11-08,33768,426,88,550,US,News & Politics
u7pV4vxD1bs,World's first self-driving shuttle crashes on first day of use,KSNV News 3 Las Vegas,2017-11-08,169511,57,59,79,US,News & Politics
L3br0klRqF4,Watch live: Sessions testifies to the House Judiciary Committee,Washington Post,2017-11-14,137003,580,262,343,US,News & Politics
TUmyygCMMGA,Why the rise of the robots won’t mean the end of work,Vox,2017-11-13,635985,20721,2417,4111,US,News & Politics
oTObwUiXdYY,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,2017-11-13,30438,143,42,220,US,News & Politics
iIxy3JN3-jc,LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,Cleveland Cavaliers on cleveland.com,2017-11-13,84149,276,128,172,US,News & Politics
lBHPVE3AI6Y,Iran-Iraq border earthquake is deadliest of 2017 - BBC News,BBC News,2017-11-13,93322,398,43,497,US,News & Politics
GgVmn66oK_A,Which Countries Are About To Collapse?,NowThis World,2017-11-12,692631,9086,1406,4582,US,News & Politics
9XSULcLI6Hg,Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17,JimBrowski 96HourNews,2017-11-12,32483,23,10,135,US,News & Politics
PABlVzeldaM,U.S. Navy Three Carrier Formation in Western Pacific Ocean,U.S. Navy,2017-11-12,238413,732,92,618,US,News & Politics
1WDj0DddCcM,WATCH: Sen. Mitch McConnell on tax reform,WLKY News Louisville,2017-11-13,6685,11,35,18,US,News & Politics
c-3JxzN2u34,Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,CBS Sunday Morning,2017-11-12,9892,250,7,19,US,News & Politics
L_5_slz4ke4,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,2017-11-12,9833,73,21,62,US,News & Politics
PkRBTF6nt4E,Tesla's biggest problem is one nobody saw coming,Business Insider,2017-11-10,144694,1012,588,288,US,News & Politics
l7je4VAUvjA,World's First Engagement Ring Phone Case,Caters Clips,2017-11-10,90454,211,65,59,US,News & Politics
_BVAJ3PXZ1k,The all-American fruit you've probably never heard of,Vox,2017-11-15,533940,12633,597,1828,US,News & Politics
L3br0klRqF4,Watch live: Sessions testifies to the House Judiciary Committee,Washington Post,2017-11-14,153220,660,320,479,US,News & Politics
oTObwUiXdYY,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,2017-11-13,32347,145,44,245,US,News & Politics
GgVmn66oK_A,Which Countries Are About To Collapse?,NowThis World,2017-11-12,727427,9459,1446,3292,US,News & Politics
iIxy3JN3-jc,LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,Cleveland Cavaliers on cleveland.com,2017-11-13,85742,278,128,174,US,News & Politics
lBHPVE3AI6Y,Iran-Iraq border earthquake is deadliest of 2017 - BBC News,BBC News,2017-11-13,104295,423,45,551,US,News & Politics
qK8AcryiniI,Donald Trump makes ASEAN handshake photo op go awry,Rappler,2017-11-13,59466,39,14,34,US,News & Politics
9XSULcLI6Hg,Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17,JimBrowski 96HourNews,2017-11-12,36859,23,10,135,US,News & Politics
KLZl_sxSN_g,WWSB Channel 7:   Sarasota Police stepping up pedestrian and bicyclist safety enforcement,Sarasota Police Department,2017-11-08,1338,4,0,0,US,News & Politics
PABlVzeldaM,U.S. Navy Three Carrier Formation in Western Pacific Ocean,U.S. Navy,2017-11-12,251684,769,95,748,US,News & Politics
1WDj0DddCcM,WATCH: Sen. Mitch McConnell on tax reform,WLKY News Louisville,2017-11-13,6743,11,35,16,US,News & Politics
c-3JxzN2u34,Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,CBS Sunday Morning,2017-11-12,10309,254,7,19,US,News & Politics
L_5_slz4ke4,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,2017-11-12,10542,77,22,65,US,News & Politics
lJFqvRwOiis,Walking while black,Vox,2017-11-16,505886,23207,5375,7030,US,News & Politics
U5sCjnezw4o,Jaylen Brown delivers emotional press conference after losing his best friend | Boston Celtics,MassLive,2017-11-17,5938,108,3,21,US,News & Politics
L3br0klRqF4,Watch live: Sessions testifies to the House Judiciary Committee,Washington Post,2017-11-14,157973,681,337,546,US,News & Politics
oTObwUiXdYY,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,2017-11-13,32977,146,45,232,US,News & Politics
iIxy3JN3-jc,LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,Cleveland Cavaliers on cleveland.com,2017-11-13,86671,280,128,174,US,News & Politics
GgVmn66oK_A,Which Countries Are About To Collapse?,NowThis World,2017-11-12,759217,9848,1511,3477,US,News & Politics
lBHPVE3AI6Y,Iran-Iraq border earthquake is deadliest of 2017 - BBC News,BBC News,2017-11-13,108991,430,45,556,US,News & Politics
DVAMKnfrQBk,Aly Raisman On Dr. Larry Nassar’s Medical Treatment: I Didn’t Know It Was Abuse | Megyn Kelly TODAY,TODAY,2017-11-13,83497,410,28,76,US,News & Politics
QiIlcKiREUU,Behind the Aly Raisman interview on 60 Minutes,60 Minutes,2017-11-12,42422,243,8,58,US,News & Politics
qK8AcryiniI,Donald Trump makes ASEAN handshake photo op go awry,Rappler,2017-11-13,64932,39,14,30,US,News & Politics
KLZl_sxSN_g,WWSB Channel 7:   Sarasota Police stepping up pedestrian and bicyclist safety enforcement,Sarasota Police Department,2017-11-08,1431,4,0,0,US,News & Politics
PABlVzeldaM,U.S. Navy Three Carrier Formation in Western Pacific Ocean,U.S. Navy,2017-11-12,256760,782,98,793,US,News & Politics
1WDj0DddCcM,WATCH: Sen. Mitch McConnell on tax reform,WLKY News Louisville,2017-11-13,6801,11,35,16,US,News & Politics
c-3JxzN2u34,Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,CBS Sunday Morning,2017-11-12,10541,261,7,19,US,News & Politics
L_5_slz4ke4,Some NFL players call for an end to Thursday night football after 8 players were injured last week,ABC News,2017-11-12,11156,86,22,74,US,News & Politics
5HOijUtExiM,The environmental cost of free two-day shipping,Vox,2017-11-17,366048,14742,1308,1948,US,News & Politics
U5sCjnezw4o,Jaylen Brown delivers emotional press conference after losing his best friend | Boston Celtics,MassLive,2017-11-17,67433,439,43,169,US,News & Politics
AJ2xkh-6tL4,UCLA men's basketball players discuss arrests in China,ABC News,2017-11-15,25521,393,83,409,US,News & Politics
77McSTzTgg8,President Donald Trump Makes Statement From White House On Asia Trip (Full) | NBC News,NBC News,2017-11-15,38528,283,218,0,US,News & Politics
L3br0klRqF4,Watch live: Sessions testifies to the House Judiciary Committee,Washington Post,2017-11-14,161057,686,338,541,US,News & Politics
oTObwUiXdYY,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,2017-11-13,33434,147,45,224,US,News & Politics
iIxy3JN3-jc,LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,Cleveland Cavaliers on cleveland.com,2017-11-13,87065,281,128,173,US,News & Politics
