publish_time,publish_time_key,year,month,day
2018-05-28,20180528,2018,5,28
2015-05-19,20150519,2015,5,19
2012-10-06,20121006,2012,10,6
2017-08-11,20170811,2017,8,11
2018-03-17,20180317,2018,3,17
2018-06-06,20180606,2018,6,6
2014-08-01,20140801,2014,8,1
2017-09-28,20170928,2017,9,28
2014-01-24,20140124,2014,1,24
2017-01-24,20170124,2017,1,24
2016-12-19,20161219,2016,12,19
2017-06-29,20170629,2017,6,29
2015-03-12,20150312,2015,3,12
2017-09-29,20170929,2017,9,29
2018-03-23,20180323,2018,3,23
2018-05-26,20180526,2018,5,26
2015-03-11,20150311,2015,3,11
2017-07-31,20170731,2017,7,31
2017-12-02,20171202,2017,12,2
2016-06-02,20160602,2016,6,2
2017-10-23,20171023,2017,10,23
2017-08-14,20170814,2017,8,14
2017-08-18,20170818,2017,8,18
2015-11-02,20151102,2015,11,2
2017-12-25,20171225,2017,12,25
2017-04-09,20170409,2017,4,9
2018-01-23,20180123,2018,1,23
2018-04-18,20180418,2018,4,18
2015-04-19,20150419,2015,4,19
2017-03-28,20170328,2017,3,28
2016-09-23,20160923,2016,9,23
2013-11-23,20131123,2013,11,23
2018-02-26,20180226,2018,2,26
2017-12-08,20171208,2017,12,8
2013-05-25,20130525,2013,5,25
2014-02-24,20140224,2014,2,24
2015-10-13,20151013,2015,10,13
2015-09-29,20150929,2015,9,29
2011-05-22,20110522,2011,5,22
2018-04-26,20180426,2018,4,26
2018-05-27,20180527,2018,5,27
2011-03-27,20110327,2011,3,27
2016-09-15,20160915,2016,9,15
2017-05-11,20170511,2017,5,11
2013-03-31,20130331,2013,3,31
2018-01-11,20180111,2018,1,11
2017-02-10,20170210,2017,2,10
2013-12-14,20131214,2013,12,14
2017-10-24,20171024,2017,10,24
2015-09-06,20150906,2015,9,6
2015-09-21,20150921,2015,9,21
2013-11-03,20131103,2013,11,3
2018-04-16,20180416,2018,4,16
2018-01-08,20180108,2018,1,8
2018-01-18,20180118,2018,1,18
2018-02-22,20180222,2018,2,22
2010-04-21,20100421,2010,4,21
2015-11-21,20151121,2015,11,21
2017-11-26,20171126,2017,11,26
2018-02-11,20180211,2018,2,11
2018-03-08,20180308,2018,3,8
2017-11-06,20171106,2017,11,6
2018-01-14,20180114,2018,1,14
2017-10-09,20171009,2017,10,9
